"","name","similarName"
"1","Ledum decumbens","Sedum decumbens"
"2","Ligusticum scothicum subsp. hultenii","Ligusticum scoticum  subsp. hultenii"
"3","Myriophyllum crispatum","Myriophyllum spicatum"
"4","Potentilla nivalis","Potentilla rivalis"
"5","Euphorbia hirsuta","Euphorbia hirta"
"6","Reseda lutea","Reseda luteola"
"7","Hypericum perfoliatum","Hypericum perforatum"
"8","Bromus racemosus","Bromus ramosus"
"9","Erechtites valerianifolia","Erechtites valerianifolius"
"10","Lycium barbarum","Lycium barbatum"
"11","Aponogeton distachyos","Aponogeton distachyus"
"12","Proboscidea louisiana","Proboscidea louisianica"
"13","Rosa rubiginosa","Rosa rubignosa"
"14","Trifolium striatum","Trifolium strictum"
"15","Verbascum thapsum","Verbascum thapsus"
"16","Croton setiger","Croton setigerus"
"17","Lythrum hyssopifolia","Lythrum hyssopifolium"
"18","Linum striatum","Linum strictum"
"19","Gladiolus colvillei","Gladiolus colvillii"
"20","Salvia aurea","Salvia azurea"
"21","Tribolium echinatum","Trifolium echinatum"
"22","Acer saccharinum","Acer saccharum"
"23","Sisymbrium volgense","Sisymbrium wolgense"
"24","Plantago afra","Plantago cafra"
"25","Leymus racemosus","Leymus ramosus"
"26","Artemisia sieversiana","Artemisia siversiana"
"27","Cyperus alterniflorus","Cyperus alternifolius"
"28","Phyllostachys dulcis","Phyllostachys edulis"
"29","Erechtites hieraciifolia","Erechtites hieraciifolius"
"30","Astragalus glycyphylloides","Astragalus glycyphyllos"
"31","Aremonia agrimonioides","Aremonia agrimonoides"
"32","Erechtites hieracifolia","Erechtites hieraciifolia"
"33","Solanum incanum","Solanum insanum"
"34","Crotalaria agatiflora  subsp. engleri","Crotalaria agatiflora  subsp. erlangeri"
"35","Begonia hirsuta","Begonia hirta"
"36","Echinops banaticus","Echinops bannaticus"
"37","Narcissus pseudonarcissus  subsp. bicolor","Narcissus pseudonarcissus  subsp. minor"
"38","Phedimus stolonifer","Phedimus stoloniferus"
"39","Juncus flavidus","Juncus validus"
"40","Cissus alata","Cissus palmata"
