"name","similarName"
"Euphorbia hirsuta","Euphorbia hirta"
"Reseda lutea","Reseda luteola"
"Hypericum perfoliatum","Hypericum perforatum"
"Bromus racemosus","Bromus ramosus"
"Erechtites valerianifolia","Erechtites valerianifolius"
"Lycium barbarum","Lycium barbatum"
"Aponogeton distachyos","Aponogeton distachyus"
"Proboscidea louisiana","Proboscidea louisianica"
"Rosa rubiginosa","Rosa rubignosa"
"Trifolium striatum","Trifolium strictum"
"Verbascum thapsum","Verbascum thapsus"
"Croton setiger","Croton setigerus"
"Lythrum hyssopifolia","Lythrum hyssopifolium"
"Linum striatum","Linum strictum"
"Gladiolus colvillei","Gladiolus colvillii"
"Myriophyllum crispatum","Myriophyllum spicatum"
"Tribolium echinatum","Trifolium echinatum"
"Potentilla nivalis","Potentilla rivalis"
"Acer saccharinum","Acer saccharum"
"Sisymbrium volgense","Sisymbrium wolgense"
"Plantago afra","Plantago cafra"
"Leymus racemosus","Leymus ramosus"
"Artemisia sieversiana","Artemisia siversiana"
"Phyllostachys dulcis","Phyllostachys edulis"
"Erechtites hieraciifolia","Erechtites hieraciifolius"
"Aremonia agrimonioides","Aremonia agrimonoides"
"Erechtites hieracifolia","Erechtites hieraciifolia"
"Solanum incanum","Solanum insanum"
"Echinops banaticus","Echinops bannaticus"
"Phedimus stolonifer","Phedimus stoloniferus"
"Juncus flavidus","Juncus validus"
"Cissus alata","Cissus palmata"
