"Table S1. List of non-native vascular plant species from the Arctic. ● - naturalised alien, I - invasive, IT - invasive transformer, ○- casual alien, ? - presence uncertain,      × - excluded (although present on previous lists)",,,,,,,,,,,,,,,,,,,,,,,,
Regions,CW,WI,CS,CE,AN,AW,CC,HL,EP,GW,GE,NI,JM,FN,SF,FJL,KP,UN,YG,AO,Tm,Kh,YK,
Number of native taxa (according to Daniëls et al. 2013),622,314,531,644,678,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Share of non-native species in the total flora [%],1.4,0,2.9,5.7,4.5,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naturalized,9,0,16,39,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Invasive,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformer,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Casual,3,1,3,43,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Excluded,5,0,3,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total non-native taxa ,12,1,19,82,24,46,4,10,0,77,8,96,3,6,95,0,206,78,29,0,82,34,15,
Achillea alpina subsp. multiflora (Hook.) D.F. Murray & Elven,,,,,,,×,,,,,,,,,,,,,,,,,Asteraceae
Achillea millefolium subsp. lanulosa (Nutt.) Piper,,,,,,,,,,●,,,,,,,,,,,,,,Asteraceae
Achillea millefolium L. subsp. millefolium ,,,,●,,,,,,●,×,,,,●,,,,,,,○,●, Asteraceae
Achillea ptarmica L.,,,,●,,,,,,●,,×,,×,○,,●,●,,,,○,,Asteraceae
Aconitum napellus subsp. lusitanicum Rouy,,,,,,,,,,,,,,×,,,,,,,,,,Ranunculaceae
Aconitum stoerkianum Rchb.,,,,,,,,,,,,,,×,,,,,,,,,,Ranunculaceae
Aegopodium podagraria L.,,,,,,,,,,,,●,,×,,,,,,,,,,Apiaceae
Agropyron cristatum subsp. pectinatum (M. Bieb.) Tzvelev,,,,,,,×,,,,,,,,,,,,,,,,,Poaceae
Agrostemma githago L.,,,,,,,,,,,,○,,,○,,○,,,,,,,Caryophyllaceae
Agrostis canina L.,,,,○,,,,,,,,,,,,,●,,,,,,,Poaceae
